Điểm đi	Điểm đến	Số chỗ	Giá (VNĐ)
an giang	hà nội	40.0	900000.0
vũng tàu	hà nội	40.0	800000.0
vũng tàu	hà nội	42.0	700000.0
vũng tàu	hà nội	40.0	850000.0
bắc giang	hà nội	28.0	50000.0
bắc giang	hà nội	9.0	80000.0
bắc giang	hà nội	30.0	42000.0
bắc giang	hà nội	39.0	1400000.0
bắc kạn	hà nội	28.0	85000.0
bắc kạn	hà nội	33.0	110000.0
bắc kạn	hà nội	9.0	240000.0
bắc kạn	hà nội	16.0	250000.0
bắc kạn	hà nội	16.0	120000.0
bắc kạn	hà nội	30.0	100000.0
bắc kạn	hà nội	35.0	90000.0
bắc ninh	hà nội	46.0	220000.0
bắc ninh	hà nội	47.0	40000.0
bắc ninh	hà nội	39.0	140000.0
bắc ninh	hà nội	19.0	60000.0
bắc ninh	hà nội	19.0	50000.0
bình thuận	hà nội	39.0	720000.0
bình định	hà nội	39.0	520000.0
cà mau	hà nội	40.0	900000.0
cần thơ	hà nội	40.0	900000.0
cần thơ	hà nội	38.0	770000.0
cần thơ	hà nội	39.0	900000.0
cao bằng	hà nội	40.0	200000.0
cao bằng	hà nội	28.0	160000.0
cao bằng	hà nội	28.0	170000.0
cao bằng	hà nội	30.0	170000.0
gia lai	hà nội	40.0	700000.0
gia lai	hà nội	45.0	350000.0
gia lai	hà nội	40.0	600000.0
gia lai	hà nội	41.0	580000.0
hà giang	hà nội	40.0	190000.0
hà giang	hà nội	45.0	150000.0
hà giang	hà nội	45.0	180000.0
hà giang	hà nội	44.0	200000.0
hà giang	hà nội	44.0	180000.0
hà giang	hà nội	40.0	240000.0
hà giang	hà nội	46.0	200000.0
hà nam	hà nội	28.0	55000.0
hà nam	hà nội	28.0	50000.0
hà nam	hà nội	35.0	60000.0
hà nam	hà nội	45.0	50000.0
hà nam	hà nội	44.0	80000.0
hà nam	hà nội	19.0	80000.0
hà nam	hà nội	19.0	60000.0
hà nam	hà nội	7.0	80000.0
hà tĩnh	hà nội	46.0	180000.0
hà tĩnh	hà nội	41.0	350000.0
hà tĩnh	hà nội	41.0	250000.0
hà tĩnh	hà nội	40.0	180000.0
hà tĩnh	hà nội	40.0	200000.0
hà tĩnh	hà nội	46.0	200000.0
hải dương	hà nội	47.0	50000.0
hải dương	hà nội	45.0	27000.0
hải dương	hà nội	30.0	55000.0
hải dương	hà nội	45.0	50000.0
hải dương	hà nội	19.0	80000.0
hải dương	hà nội	19.0	60000.0
hải phòng	hà nội	34.0	240000.0
hải phòng	hà nội	29.0	300000.0
hải phòng	hà nội	41.0	280000.0
hải phòng	hà nội	34.0	400000.0
hải phòng	hà nội	45.0	90000.0
hòa bình	hà nội	28.0	100000.0
hòa bình	hà nội	28.0	80000.0
hòa bình	hà nội	28.0	60000.0
hòa bình	hà nội	45.0	45000.0
hòa bình	hà nội	29.0	100000.0
hòa bình	hà nội	30.0	45000.0
hòa bình	hà nội	46.0	120000.0
hòa bình	hà nội	46.0	100000.0
hòa bình	hà nội	29.0	70000.0
hòa bình	hà nội	29.0	48000.0
hòa bình	hà nội	28.0	50000.0
hòa bình	hà nội	30.0	80000.0
hòa bình	hà nội	30.0	70000.0
hòa bình	hà nội	18.0	200000.0
hòa bình	hà nội	28.0	75000.0
hòa bình	hà nội	28.0	70000.0
huế	hà nội	40.0	250000.0
huế	hà nội	41.0	250000.0
huế	hà nội	41.0	350000.0
huế	hà nội	40.0	365000.0
huế	hà nội	42.0	280000.0
huế	hà nội	38.0	250000.0
hưng yên	hà nội	45.0	50000.0
hưng yên	hà nội	30.0	34000.0
khánh hòa	hà nội	39.0	620000.0
kon tum	hà nội	40.0	440000.0
lai châu	hà nội	40.0	300000.0
lai châu	hà nội	40.0	250000.0
lai châu	hà nội	40.0	350000.0
lai châu	hà nội	28.0	180000.0
lai châu	hà nội	44.0	280000.0
lai châu	hà nội	44.0	420000.0
lai châu	hà nội	44.0	350000.0
lai châu	hà nội	28.0	200000.0
lai châu	hà nội	41.0	280000.0
lai châu	hà nội	40.0	260000.0
lai châu	hà nội	41.0	250000.0
lai châu	hà nội	41.0	260000.0
lai châu	hà nội	45.0	200000.0
lâm đồng	hà nội	44.0	550000.0
lâm đồng	hà nội	44.0	500000.0
lâm đồng	hà nội	40.0	350000.0
lâm đồng	hà nội	40.0	700000.0
lâm đồng	hà nội	46.0	650000.0
lâm đồng	hà nội	46.0	600000.0
lâm đồng	hà nội	40.0	600000.0
lạng sơn	hà nội	28.0	100000.0
lạng sơn	hà nội	28.0	90000.0
lạng sơn	hà nội	16.0	120000.0
lạng sơn	hà nội	16.0	110000.0
lạng sơn	hà nội	16.0	130000.0
lào cai	hà nội	41.0	220000.0
lào cai	hà nội	41.0	210000.0
lào cai	hà nội	41.0	200000.0
lào cai	hà nội	41.0	180000.0
lào cai	hà nội	40.0	230000.0
lào cai	hà nội	9.0	400000.0
lào cai	hà nội	40.0	350000.0
lào cai	hà nội	9.0	430000.0
lào cai	hà nội	46.0	250000.0
lào cai	hà nội	46.0	230000.0
lào cai	hà nội	46.0	180000.0
long an	hà nội	39.0	840000.0
nam định	hà nội	40.0	70000.0
nam định	hà nội	30.0	70000.0
nam định	hà nội	45.0	60000.0
nam định	hà nội	7.0	160000.0
nam định	hà nội	45.0	70000.0
nam định	hà nội	28.0	70000.0
ninh bình	hà nội	30.0	80000.0
ninh bình	hà nội	30.0	70000.0
ninh bình	hà nội	45.0	70000.0
ninh bình	hà nội	45.0	80000.0
ninh bình	hà nội	41.0	350000.0
ninh bình	hà nội	41.0	250000.0
ninh bình	hà nội	28.0	70000.0
ninh bình	hà nội	28.0	80000.0
ninh bình	hà nội	30.0	125000.0
ninh thuận	hà nội	39.0	680000.0
phú thọ	hà nội	46.0	100000.0
phú thọ	hà nội	46.0	130000.0
phú thọ	hà nội	44.0	120000.0
phú thọ	hà nội	44.0	100000.0
phú thọ	hà nội	44.0	80000.0
quảng bình	hà nội	44.0	200000.0
quảng bình	hà nội	41.0	350000.0
quảng bình	hà nội	41.0	250000.0
quảng bình	hà nội	40.0	200000.0
quảng bình	hà nội	40.0	220000.0
quảng bình	hà nội	30.0	200000.0
quảng bình	hà nội	45.0	230000.0
quảng bình	hà nội	39.0	270000.0
quảng bình	hà nội	38.0	200000.0
quảng nam	hà nội	40.0	380000.0
quảng nam	hà nội	41.0	350000.0
quảng nam	hà nội	39.0	410000.0
quảng nam	hà nội	40.0	320000.0
quảng ngãi	hà nội	40.0	320000.0
quảng ngãi	hà nội	39.0	430000.0
quảng ninh	hà nội	28.0	120000.0
quảng ninh	hà nội	45.0	80000.0
quảng ninh	hà nội	28.0	100000.0
quảng ninh	hà nội	40.0	200000.0
quảng ninh	hà nội	9.0	180000.0
quảng ninh	hà nội	29.0	150000.0
quảng ninh	hà nội	9.0	250000.0
quảng ninh	hà nội	44.0	180000.0
quảng ninh	hà nội	44.0	170000.0
quảng ninh	hà nội	44.0	150000.0
quảng ninh	hà nội	44.0	200000.0
quảng trị	hà nội	40.0	250000.0
quảng trị	hà nội	39.0	300000.0
quảng trị	hà nội	40.0	230000.0
sài gòn	hà nội	40.0	950000.0
sài gòn	hà nội	40.0	800000.0
sài gòn	hà nội	39.0	830000.0
sài gòn	hà nội	40.0	900000.0
sài gòn	hà nội	40.0	775000.0
sài gòn	hà nội	45.0	700000.0
sài gòn	hà nội	40.0	890000.0
sài gòn	hà nội	40.0	850000.0
sài gòn	hà nội	40.0	650000.0
sài gòn	hà nội	45.0	760000.0
sơn la	hà nội	40.0	210000.0
sơn la	hà nội	40.0	220000.0
sơn la	hà nội	40.0	250000.0
sơn la	hà nội	29.0	270000.0
sơn la	hà nội	16.0	170000.0
